product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,spread_mean_60s,price_range_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-06T15:02:34.590029066Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,1,0.016666666666666666,0.010000000009313226,0.0,3.956424847354689e-05,0
BTC-USD,2026-04-06T15:02:34.840682702Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,2,0.03333333333333333,0.010000000009313226,0.0,3.951200383076082e-05,0
BTC-USD,2026-04-06T15:02:35.087776268Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,3,0.05,0.010000000009313226,0.0,3.951200383076082e-05,0
BTC-USD,2026-04-06T15:02:35.340169409Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,4,0.06666666666666667,0.010000000009313226,0.0,3.951200383076082e-05,0
BTC-USD,2026-04-06T15:02:35.587742522Z,69705.9,69705.905,0.0,0.010000000009313226,0.0014345986913609724,0.0,0.0,5,0.08333333333333333,0.010000000009313226,0.0,3.9461026659354514e-05,0
BTC-USD,2026-04-06T15:02:35.763637311Z,69705.91,69705.905,1.4345986924098155e-07,0.010000000009313226,0.0014345986913609724,5.7383947696392623e-08,2.8691973848196312e-08,6,0.1,0.010000000009313226,0.010000000009313226,3.946099388138025e-05,0
BTC-USD,2026-04-06T15:02:35.841715768Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,5.3464336611010985e-08,2.390997820683026e-08,7,0.11666666666666667,0.010000000009313226,0.010000000009313226,3.9513060135612235e-05,0
BTC-USD,2026-04-06T15:02:36.089040062Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,5.0200496886685755e-08,2.0494267034425937e-08,8,0.13333333333333333,0.010000000009313226,0.010000000009313226,3.948008375775362e-05,0
BTC-USD,2026-04-06T15:02:36.33958347Z,69705.91,69705.905,0.0,0.010000000009313226,0.0014345986913609724,4.744489214118521e-08,1.7932483655122694e-08,9,0.15,0.010000000009313226,0.010000000009313226,3.948008375775362e-05,0
BTC-USD,2026-04-06T15:02:36.524376254Z,69705.9,69705.905,-1.4345986917156736e-07,0.010000000009313226,0.0014345986913609724,6.76276308959279e-08,7.712687912090256e-18,10,0.16666666666666666,0.010000000009313226,0.010000000009313226,3.947729102894798e-05,0
BTC-USD,2026-04-06T15:02:36.593723148Z,69705.9,69694.33499999999,0.0,0.00999999999476131,0.0014348368478960753,6.41572039176917e-08,6.941419120881231e-18,11,0.18333333333333332,0.010000000007990324,0.010000000009313226,3.947729102894798e-05,0
BTC-USD,2026-04-06T15:02:36.765234978Z,69699.49,69694.33499999999,-9.196201100272221e-05,0.00999999999476131,0.0014348368478960753,2.6437290132072133e-05,-8.36018281842298e-06,12,0.2,0.010000000006887907,6.419999999998254,3.926426953570748e-05,0
BTC-USD,2026-04-06T15:02:36.844760487Z,69699.49,69691.725,0.0,0.00999999999476131,0.0014348905834604194,2.5417024598838073e-05,-7.663500916887733e-06,13,0.21666666666666667,0.01000000000595509,6.419999999998254,3.926426953570748e-05,0
BTC-USD,2026-04-06T15:02:37.010117213Z,69694.34,69691.725,-7.389136237018625e-05,0.00999999999476131,0.0014348905834604194,3.012925580413567e-05,-1.2757951797910694e-05,14,0.23333333333333334,0.010000000005155536,11.570000000006985,3.914595047135921e-05,0
BTC-USD,2026-04-06T15:02:37.09023746Z,69694.34,69690.455,0.0,0.010000000009313226,0.00143491673419455,2.921860458904089e-05,-1.1846669526631359e-05,15,0.25,0.010000000005432715,11.570000000006985,3.9197828480364774e-05,0
BTC-USD,2026-04-06T15:02:37.218182668Z,69690.46,69690.455,-5.567321545809242e-05,0.010000000009313226,0.00143491673419455,3.0270878206502623e-05,-1.476843925539543e-05,16,0.26666666666666666,0.010000000005675247,15.44999999999709,3.9102918002361024e-05,0
BTC-USD,2026-04-06T15:02:37.343563824Z,69690.46,69690.41,0.0,0.10000000000582077,0.014349176594860149,2.9526858677795926e-05,-1.3845411801933216e-05,17,0.2833333333333333,0.01529411765274263,15.44999999999709,3.9052369615195565e-05,0
BTC-USD,2026-04-06T15:02:37.497866526Z,69690.36,69690.41,-1.4349176594548328e-06,0.10000000000582077,0.014349176594860149,2.8793715079606633e-05,-1.3115382734728605e-05,18,0.3,0.020000000005691417,15.55000000000291,3.9104348641958236e-05,0
BTC-USD,2026-04-06T15:02:37.588501304Z,69690.36,69686.545,0.0,0.010000000009313226,0.0014349972450654895,2.8143267844364107e-05,-1.2386750360577016e-05,19,0.31666666666666665,0.019473684216408355,15.55000000000291,3.91043759835609e-05,0
BTC-USD,2026-04-06T15:02:37.723139337Z,69689.13,69686.545,-1.7649655627628935e-05,0.010000000009313226,0.0014349972450654895,2.741784265631711e-05,-1.266374537463238e-05,20,0.3333333333333333,0.019000000006053598,16.779999999998836,3.909699840990778e-05,0
BTC-USD,2026-04-06T15:02:37.842948936Z,69689.13,69685.775,0.0,1.5500000000029104,0.22242703048117216,2.6865754918829774e-05,-1.2030558105900762e-05,21,0.35,0.09190476191066582,16.779999999998836,3.909697293148476e-05,0
BTC-USD,2026-04-06T15:02:37.954072789Z,69686.0,69685.775,-4.4914756320362794e-05,1.5500000000029104,0.22242703048117216,2.7137438913460906e-05,-1.3596472306589428e-05,22,0.36666666666666664,0.15818181818758603,19.910000000003492,3.9036132009994905e-05,0
BTC-USD,2026-04-06T15:02:38.090876247Z,69686.0,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.666433910148792e-05,-1.297845083810809e-05,23,0.38333333333333336,0.15173913044007192,19.910000000003492,3.912398067498412e-05,0
BTC-USD,2026-04-06T15:02:38.234178561Z,69682.37,69681.38500000001,-5.209216410903555e-05,0.00999999999476131,0.0014351035064474262,2.727084722011365e-05,-1.467904706727885e-05,24,0.4,0.14583333333818396,23.54000000000815,3.904073709899213e-05,0
BTC-USD,2026-04-06T15:02:38.342396685Z,69682.37,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.6857320392692134e-05,-1.406742010614223e-05,25,0.4166666666666667,0.14040000000444708,23.54000000000815,3.93438096731151e-05,0
BTC-USD,2026-04-06T15:02:38.49859904Z,69681.38,69681.38500000001,-1.4207424814663127e-05,0.00999999999476131,0.0014351035064474262,2.6314706629930628e-05,-1.4073020294483066e-05,26,0.43333333333333335,0.13538461538868993,24.529999999998836,3.933966174189596e-05,0
BTC-USD,2026-04-06T15:02:38.588587346Z,69681.38,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.5945228716424926e-05,-1.3531750283156795e-05,27,0.45,0.13074074074447034,24.529999999998836,3.937910172800657e-05,0
BTC-USD,2026-04-06T15:02:38.840669104Z,69681.38,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.5588158213100478e-05,-1.303057434674358e-05,28,0.4666666666666667,0.12642857143198075,24.529999999998836,3.93269270887353e-05,0
BTC-USD,2026-04-06T15:02:39.088113003Z,69681.38,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.5243164159271445e-05,-1.2565196691502738e-05,29,0.48333333333333334,0.12241379310655938,24.529999999998836,3.9313770414126166e-05,0
BTC-USD,2026-04-06T15:02:39.265118524Z,69681.39,69681.38500000001,1.4351035063057873e-07,0.00999999999476131,0.0014351035064474262,2.491227872810474e-05,-1.2126965414187795e-05,30,0.5,0.11866666666949945,24.529999999998836,3.93656884653332e-05,0
BTC-USD,2026-04-06T15:02:39.339686955Z,69681.39,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.4590098611610343e-05,-1.172273323371487e-05,31,0.5166666666666667,0.11516129032515304,24.529999999998836,3.936566035144103e-05,0
BTC-USD,2026-04-06T15:02:39.588683882Z,69681.39,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.4278742848414827e-05,-1.1344580548756324e-05,32,0.5333333333333333,0.1118750000023283,24.529999999998836,3.941781410305138e-05,0
BTC-USD,2026-04-06T15:02:39.764681169Z,69681.38,69681.38500000001,-1.435103506866735e-07,0.00999999999476131,0.0014351035064474262,2.397571766893195e-05,-1.0994547105066648e-05,33,0.55,0.1087878787899778,24.529999999998836,3.9417842300844665e-05,0
BTC-USD,2026-04-06T15:02:39.839381752Z,69681.38,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.368475935064435e-05,-1.0661379010973719e-05,34,0.5666666666666667,0.10588235294305966,24.529999999998836,3.947020399764557e-05,0
BTC-USD,2026-04-06T15:02:40.088003591Z,69681.38,69681.38500000001,0.0,0.00999999999476131,0.0014351035064474262,2.3403280410799336e-05,-1.0347809040062728e-05,35,0.5833333333333334,0.10314285714453685,24.529999999998836,3.9417842300844665e-05,0
BTC-USD,2026-04-06T15:02:40.317070867Z,69681.39,69681.38500000001,1.4351035063057873e-07,0.00999999999476131,0.0014351035064474262,2.3132650483870088e-05,-1.0048057057471489e-05,36,0.6,0.10055555555704308,24.529999999998836,3.9470174289437286e-05,0
BTC-USD,2026-04-06T15:02:40.342783932Z,69681.39,69687.33499999999,0.0,0.00999999999476131,0.0014349809753467127,2.2868793666045725e-05,-9.768944361430615e-06,37,0.6166666666666667,0.09810810810941385,24.529999999998836,3.9470174289437286e-05,0
BTC-USD,2026-04-06T15:02:40.589232208Z,69681.39,69689.125,0.0,0.010000000009313226,0.0014349441192314045,2.261319578759271e-05,-9.504918838148705e-06,38,0.6333333333333333,0.09578947368572699,24.529999999998836,3.947020403159558e-05,0
BTC-USD,2026-04-06T15:02:40.609391718Z,69682.72,69689.125,1.9086693124211275e-05,0.010000000009313226,0.0014349441192314045,2.2778199823594467e-05,-8.75250799703397e-06,39,0.65,0.09358974359145997,24.529999999998836,3.9506508867702544e-05,0
BTC-USD,2026-04-06T15:02:40.754408578Z,69685.17,69689.125,3.5158744245232355e-05,0.010000000009313226,0.0014349441192314045,2.353116853429017e-05,-7.626578452360474e-06,40,0.6666666666666666,0.0915000000019063,24.529999999998836,3.945716206363934e-05,0
BTC-USD,2026-04-06T15:02:40.842565621Z,69685.17,69689.125,0.0,0.010000000009313226,0.0014349441192314045,2.3265656229942936e-05,-7.435913991051462e-06,41,0.6833333333333333,0.08951219512403817,24.529999999998836,3.950982454430695e-05,0
BTC-USD,2026-04-06T15:02:41.014154119Z,69689.12,69689.125,5.668190311225018e-05,0.010000000009313226,0.0014349441192314045,2.5018263702234443e-05,-5.872064793409959e-06,42,0.7,0.08761904762130664,24.529999999998836,3.9387913215528826e-05,0
BTC-USD,2026-04-06T15:02:41.0870419Z,69689.12,69689.125,0.0,0.010000000009313226,0.0014349441192314045,2.4734838757429174e-05,-5.732253726900198e-06,43,0.7166666666666667,0.08581395349079515,24.529999999998836,3.944376723725696e-05,0
BTC-USD,2026-04-06T15:02:41.340431813Z,69689.12,69689.125,0.0,0.010000000009313226,0.0014349441192314045,2.446079397785594e-05,-5.598945500693216e-06,44,0.7333333333333333,0.08409090909348875,24.529999999998836,3.9832465585411784e-05,0
